Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ABLG1928_trimmed_clipped_R1_paired	27.616312746362	46.0	123.00097001260731	18.181818181818183	6662800.0
ABLG1928_trimmed_clipped_R2_paired	26.587135047985157	46.0	110.254476796542	9.090909090909092	6662800.0
ABLG1929_trimmed_clipped_R1_paired	22.640429806418666	45.0	121.26327488367696	18.181818181818183	10229487.0
ABLG1929_trimmed_clipped_R2_paired	22.5683477594837	45.0	110.58305719534127	18.181818181818183	10229487.0
ABLG1937_trimmed_clipped_R1_paired	27.201812258385672	45.0	116.16610513004048	18.181818181818183	10901337.0
ABLG1937_trimmed_clipped_R2_paired	26.85318301229161	45.0	110.10964223929597	18.181818181818183	10901337.0
ABLG1938_trimmed_clipped_R1_paired	26.142695193844688	45.0	118.714428522126	18.181818181818183	12549331.0
ABLG1938_trimmed_clipped_R2_paired	26.041767887359498	45.0	111.35795453956868	18.181818181818183	12549331.0
ABLG1944_trimmed_clipped_R1_paired	22.74250825670987	48.0	121.792931498502	18.181818181818183	4824785.0
ABLG1944_trimmed_clipped_R2_paired	23.223466275643162	47.0	109.35757013006797	18.181818181818183	4824785.0
ABLG1945_trimmed_clipped_R1_paired	31.268065052971053	46.0	125.79541016756258	18.181818181818183	17998827.0
ABLG1945_trimmed_clipped_R2_paired	30.075821267137442	46.0	111.59797880161857	9.090909090909092	17998827.0
ABLG1956_trimmed_clipped_R1_paired	20.46230679537419	47.0	122.62644623616575	9.090909090909092	5862891.0
ABLG1956_trimmed_clipped_R2_paired	20.72659002530351	47.0	111.45360607932162	18.181818181818183	5862891.0
ABLG1981_trimmed_clipped_R1_paired	24.352556306542056	46.0	115.60193592693703	18.181818181818183	11750960.0
ABLG1981_trimmed_clipped_R2_paired	24.258548273602713	46.0	109.74918159878001	18.181818181818183	11750960.0
ABLG1988_trimmed_clipped_R1_paired	24.336939797755022	45.0	125.56461016930491	18.181818181818183	15985773.0
ABLG1988_trimmed_clipped_R2_paired	23.916949564919065	45.0	115.90236487156423	18.181818181818183	15985773.0
ABLG1997_trimmed_clipped_R1_paired	27.41859988232808	52.0	119.69597618804268	18.181818181818183	19479961.0
ABLG1997_trimmed_clipped_R2_paired	27.62810040330588	52.0	114.08306520736875	18.181818181818183	19479961.0
ABLG2005_trimmed_clipped_R1_paired	32.43679313389846	45.0	126.63477185791922	18.181818181818183	19769654.0
ABLG2005_trimmed_clipped_R2_paired	30.897451867634075	45.0	115.6363283849075	18.181818181818183	19769654.0
ABLG2013_trimmed_clipped_R1_paired	20.70564017721425	45.0	118.18152280441414	18.181818181818183	8127045.0
ABLG2013_trimmed_clipped_R2_paired	20.776134825955495	45.0	111.03119596360055	18.181818181818183	8127045.0
ABLG2018_trimmed_clipped_R1_paired	23.464248075230074	46.0	121.17766190517057	18.181818181818183	6082542.0
ABLG2018_trimmed_clipped_R2_paired	23.600228784563527	46.0	110.76032142482535	18.181818181818183	6082542.0
ABLG2023_trimmed_clipped_R1_paired	27.060748949110433	46.0	127.5677397830976	18.181818181818183	14549493.0
ABLG2023_trimmed_clipped_R2_paired	26.2053600289226	46.0	117.08343995216877	18.181818181818183	14549493.0
ABLG2032_trimmed_clipped_R1_paired	23.733469733261302	46.0	114.70697747055513	18.181818181818183	6697857.0
ABLG2032_trimmed_clipped_R2_paired	23.871069533434323	46.0	108.921020111358	18.181818181818183	6697857.0
ABLG2077_trimmed_clipped_R1_paired	24.35232903299749	46.0	116.76281929907778	18.181818181818183	13831977.0
ABLG2077_trimmed_clipped_R2_paired	24.270383631557905	46.0	109.21731195764713	18.181818181818183	13831977.0
ABLG2082_trimmed_clipped_R1_paired	24.465848407943596	47.0	117.42633060893144	18.181818181818183	7404561.0
ABLG2082_trimmed_clipped_R2_paired	24.505233774285458	47.0	107.34875031754078	18.181818181818183	7404561.0
ABLG2091_trimmed_clipped_R1_paired	25.688758716122052	46.0	116.7660982442416	18.181818181818183	22150428.0
ABLG2091_trimmed_clipped_R2_paired	25.9764044983081	46.0	106.32445007383153	18.181818181818183	22150428.0
ABLG2093_trimmed_clipped_R1_paired	21.758361284864918	46.0	119.32447469058378	18.181818181818183	13997893.0
ABLG2093_trimmed_clipped_R2_paired	22.940694669911153	46.0	108.58671908693687	9.090909090909092	13997893.0
ABLG2099_trimmed_clipped_R1_paired	21.89147722259345	46.0	113.95357409396709	18.181818181818183	14808844.0
ABLG2099_trimmed_clipped_R2_paired	22.276465336496543	46.0	105.96122742598949	18.181818181818183	14808844.0
ABLG2100_trimmed_clipped_R1_paired	24.745440108984184	46.0	117.25725369518352	18.181818181818183	23496059.0
ABLG2100_trimmed_clipped_R2_paired	25.187153883683493	46.0	109.6716054807319	18.181818181818183	23496059.0
ABLG2103_trimmed_clipped_R1_paired	21.300016645986958	46.0	120.00637868004561	18.181818181818183	14967987.0
ABLG2103_trimmed_clipped_R2_paired	22.025086964265498	46.0	109.62499666788861	9.090909090909092	14967987.0
ABLG2105_trimmed_clipped_R1_paired	24.105158755531335	46.0	110.38685288406688	18.181818181818183	18438234.0
ABLG2105_trimmed_clipped_R2_paired	24.73677011543097	46.0	103.1456491982909	18.181818181818183	18438234.0
ABLG2109_trimmed_clipped_R1_paired	24.064498084445162	46.0	114.14349222386858	18.181818181818183	22847029.0
ABLG2109_trimmed_clipped_R2_paired	24.89435278669032	46.0	107.96402578208308	18.181818181818183	22847029.0
ABLG2118_trimmed_clipped_R1_paired	23.44065726437212	46.0	115.3818897668459	18.181818181818183	20542894.0
ABLG2118_trimmed_clipped_R2_paired	23.98163316946389	46.0	109.05082896304678	18.181818181818183	20542894.0
ABLG2120_trimmed_clipped_R1_paired	22.825998820582058	46.0	114.35478962430052	18.181818181818183	15816418.0
ABLG2120_trimmed_clipped_R2_paired	23.30131886897776	46.0	105.83770250634498	18.181818181818183	15816418.0
ABLG2123_trimmed_clipped_R1_paired	21.09844457014478	46.0	122.56971998925623	18.181818181818183	12267565.0
ABLG2123_trimmed_clipped_R2_paired	22.25317325080337	46.0	108.68145585533885	9.090909090909092	12267565.0
ABLG2140_trimmed_clipped_R1_paired	27.314845452275605	46.0	116.05182444566533	18.181818181818183	15063644.0
ABLG2140_trimmed_clipped_R2_paired	26.97696824663143	46.0	104.68336838018742	18.181818181818183	15063644.0
ABLG2147_trimmed_clipped_R1_paired	32.76390783885776	47.0	113.40631264259268	18.181818181818183	18344647.0
ABLG2147_trimmed_clipped_R2_paired	32.39387770947944	47.0	100.6871861311913	18.181818181818183	18344647.0
ABLG2155_trimmed_clipped_R1_paired	31.42737861849963	47.0	111.28388185080216	18.181818181818183	12089223.0
ABLG2155_trimmed_clipped_R2_paired	31.337050726947496	47.0	104.3801088787923	18.181818181818183	12089223.0
ABLG2156_trimmed_clipped_R1_paired	25.236716839835026	46.0	110.40450858698541	18.181818181818183	19689273.0
ABLG2156_trimmed_clipped_R2_paired	26.251404999531815	46.0	99.80843330274307	18.181818181818183	19689273.0
ABLG2157_trimmed_clipped_R1_paired	27.81506393951433	46.0	111.7692876728705	18.181818181818183	17583031.0
ABLG2157_trimmed_clipped_R2_paired	28.170226094661743	46.0	106.75544153906115	18.181818181818183	17583031.0
ABLG2162_trimmed_clipped_R1_paired	22.881088836233687	46.0	119.70149955292344	18.181818181818183	15760164.0
ABLG2162_trimmed_clipped_R2_paired	22.954451514797142	46.0	110.84858609339345	18.181818181818183	15760164.0
ABLG2163_trimmed_clipped_R1_paired	23.583742083223783	46.0	120.05877472634397	18.181818181818183	11495179.0
ABLG2163_trimmed_clipped_R2_paired	24.005988676822952	46.0	113.32285151888456	18.181818181818183	11495179.0
ABLG2171_trimmed_clipped_R1_paired	24.011773367391356	45.0	121.66789955137423	18.181818181818183	10674153.0
ABLG2171_trimmed_clipped_R2_paired	24.73429593024997	45.0	116.32003298060278	18.181818181818183	10674153.0
ABLG2172_trimmed_clipped_R1_paired	21.092026859340834	46.0	116.74288429462082	18.181818181818183	16290444.0
ABLG2172_trimmed_clipped_R2_paired	21.388576148027994	45.0	110.83458363688553	18.181818181818183	16290444.0
ABLG2179_trimmed_clipped_R1_paired	29.06524938444268	46.0	126.17862411915716	18.181818181818183	18954999.0
ABLG2179_trimmed_clipped_R2_paired	28.06443781413978	46.0	113.8731992019625	9.090909090909092	18954999.0
ABLG2181_trimmed_clipped_R1_paired	28.350900222637932	46.0	128.07243287470664	18.181818181818183	9102828.0
ABLG2181_trimmed_clipped_R2_paired	27.275507225306384	45.0	117.75069110390749	18.181818181818183	9102828.0
ABLG2182_trimmed_clipped_R1_paired	24.68917180946974	46.0	128.18895479499827	18.181818181818183	5955779.0
ABLG2182_trimmed_clipped_R2_paired	23.773785217893888	45.0	120.14527033323432	18.181818181818183	5955779.0
ABLG2185_trimmed_clipped_R1_paired	22.59050877988078	46.0	115.83442600615739	18.181818181818183	20030241.0
ABLG2185_trimmed_clipped_R2_paired	23.027694443528105	46.0	109.59891985323591	18.181818181818183	20030241.0
ABLG2186_trimmed_clipped_R1_paired	20.883448228282404	46.0	129.44544079280402	18.181818181818183	5136200.0
ABLG2186_trimmed_clipped_R2_paired	20.243244732382408	46.0	116.09100366029361	9.090909090909092	5136200.0
ABLG2201_trimmed_clipped_R1_paired	28.54509898835221	45.0	131.84402443558275	18.181818181818183	18075280.0
ABLG2201_trimmed_clipped_R2_paired	26.932570699081296	45.0	119.04521014335602	0.0	18075280.0
ABLG2239_trimmed_clipped_R1_paired	21.487389821528097	46.0	121.04265049280039	18.181818181818183	19402988.0
ABLG2239_trimmed_clipped_R2_paired	22.158802595625716	46.0	110.91867041303124	18.181818181818183	19402988.0
ABLG2244_trimmed_clipped_R1_paired	24.688832329908678	46.0	114.89267951904306	18.181818181818183	13458419.0
ABLG2244_trimmed_clipped_R2_paired	24.669730590642473	45.0	110.04134036843406	18.181818181818183	13458419.0
ABLG2279_trimmed_clipped_R1_paired	17.766155754601016	46.0	126.74554527912518	18.181818181818183	7252194.0
ABLG2279_trimmed_clipped_R2_paired	18.861958385493978	46.0	112.85363587901813	9.090909090909092	7252194.0
ABLG2282_trimmed_clipped_R1_paired	21.913704926430867	46.0	118.31904294064631	18.181818181818183	18771166.0
ABLG2282_trimmed_clipped_R2_paired	22.555010759401796	46.0	110.01970298488651	18.181818181818183	18771166.0
ABLG2293_trimmed_clipped_R1_paired	23.667574801321862	47.0	123.75406638597487	18.181818181818183	4142622.0
